video_path,label,split,archive,archive_url,status,compressed_size,original_size,crc32,local_header_offset,data_offset,output_path,attempts,error
Animals/1. Dog/MVI_3060.MOV,1. Dog,train,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,18323697,18564928,1344485022,203175809,203175866,data/videos/train/1. Dog/MVI_3060.MOV,1,
Animals/1. Dog/MVI_3059.MOV,1. Dog,train,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,16055064,16280992,781351049,187120688,187120745,data/videos/train/1. Dog/MVI_3059.MOV,1,
Animals/1. Dog/MVI_3085.MOV,1. Dog,train,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,19327231,19524148,2867902867,239438531,239438588,data/videos/train/1. Dog/MVI_3085.MOV,1,
Animals/1. Dog/MVI_3030.MOV,1. Dog,train,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,22692039,22928692,2294462165,164428592,164428649,data/videos/train/1. Dog/MVI_3030.MOV,1,
Animals/1. Dog/MVI_4146.MOV,1. Dog,train,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,14958535,15155448,981276778,294435748,294435805,data/videos/train/1. Dog/MVI_4146.MOV,1,
Animals/1. Dog/MVI_2978.MOV,1. Dog,train,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,26510925,26820164,190657215,83,140,data/videos/train/1. Dog/MVI_2978.MOV,1,
Animals/1. Dog/MVI_3061.MOV,1. Dog,train,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,17938911,18147568,1256735809,221499563,221499620,data/videos/train/1. Dog/MVI_3061.MOV,1,
Animals/1. Dog/MVI_3029.MOV,1. Dog,train,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,21221048,21472412,4073306010,143207487,143207544,data/videos/train/1. Dog/MVI_3029.MOV,1,
Animals/1. Dog/MVI_3086.MOV,1. Dog,train,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,18786561,18982712,2958963080,258765819,258765876,data/videos/train/1. Dog/MVI_3086.MOV,1,
Animals/1. Dog/MVI_3087.MOV,1. Dog,train,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,16883254,17122628,1241240870,277552437,277552494,data/videos/train/1. Dog/MVI_3087.MOV,1,
Animals/1. Dog/MVI_2979.MOV,1. Dog,val,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,17005072,17236472,3394414759,26511065,26511122,data/videos/val/1. Dog/MVI_2979.MOV,1,
Animals/1. Dog/MVI_3002.MOV,1. Dog,val,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,19637054,19912384,1273758797,63524358,63524415,data/videos/val/1. Dog/MVI_3002.MOV,1,
Animals/1. Dog/MVI_2980.MOV,1. Dog,val,Animals_1of2.zip,https://zenodo.org/api/records/4010759/files/Animals_1of2.zip/content,verified,20008107,20216044,4184605932,43516194,43516251,data/videos/val/1. Dog/MVI_2980.MOV,1,
Adjectives/1. loud/MVI_9448.MOV,1. loud,train,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,verified,11809311,12178872,1496621717,179993277,179993338,data/videos/train/1. loud/MVI_9448.MOV,1,
Adjectives/1. loud/MVI_5335.MOV,1. loud,train,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,verified,9720804,9890788,2440281355,82343521,82343582,data/videos/train/1. loud/MVI_5335.MOV,1,
Adjectives/1. loud/MVI_9535.MOV,1. loud,train,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,verified,14300474,14742260,2565545809,224375924,224375985,data/videos/train/1. loud/MVI_9535.MOV,1,
Adjectives/1. loud/MVI_5336.MOV,1. loud,train,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,verified,8898091,9062596,4188369103,92064386,92064447,data/videos/train/1. loud/MVI_5336.MOV,1,
Adjectives/1. loud/MVI_9291.MOV,1. loud,train,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,verified,13676900,14090016,1568315343,137073634,137073695,data/videos/train/1. loud/MVI_9291.MOV,1,
Adjectives/1. loud/MVI_9536.MOV,1. loud,train,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,verified,12264420,12661860,1746053300,238676459,238676520,data/videos/train/1. loud/MVI_9536.MOV,1,
Adjectives/1. loud/MVI_9290.MOV,1. loud,train,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,verified,14005087,14436544,1921328238,123068486,123068547,data/videos/train/1. loud/MVI_9290.MOV,1,
Adjectives/1. loud/MVI_9369.MOV,1. loud,train,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,verified,9928384,10279216,1951571699,160512271,160512332,data/videos/train/1. loud/MVI_9369.MOV,1,
Adjectives/1. loud/MVI_5258.MOV,1. loud,train,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,verified,16521577,16769692,385524725,52102233,52102294,data/videos/train/1. loud/MVI_5258.MOV,1,
Adjectives/1. loud/MVI_5177.MOV,1. loud,train,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,verified,12257459,12440256,4208964125,90,151,data/videos/train/1. loud/MVI_5177.MOV,1,
Adjectives/1. loud/MVI_9368.MOV,1. loud,val,Adjectives_1of8.zip,https://zenodo.org/api/records/4010759/files/Adjectives_1of8.zip/content,verified,9761615,10100644,2519654145,150750595,150750656,data/videos/val/1. loud/MVI_9368.MOV,1,
